Date,Open,High,Low,Close,Volume,openinterest,Date,SPX Close,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Net,Noncommercial Spreads,Commercial Long,Commercial Short,Commercial Net,Total Long,Total Short,Total Net,Nonreportable Positions Long,Nonreportable Positions Short,Nonreportable Net,Noncommercial Long % of OI,Noncommercial Short % of OI,Noncommerical Net % of OI,Noncommercial Net % of OI 1 year percentile,Noncommercial Net % of OI 2 year percentile,Noncommercial Net % of OI 5 year percentile,Noncommercial Spreads % of OI,Commercial Long % of OI,Commercial Short % of OI,Commerical Net % of OI,Commercial Net % of OI 1 year percentile,Commercial Net % of OI 2 year percentile,Commercial Net % of OI 5 year percentile,Total Long % of OI,Total Short % of OI,Total Net % of OI,Total Net % of OI 1 year percentile,Total Net % of OI 2 year percentile,Total Net % of OI 5 year percentile,Nonreportable Positions Long % of OI,Nonreportable Positions Short % of OI,NonReportable Net % of OI,Nonreportable Net % of OI 1 year percentile,Nonreportable Net % of OI 2 year percentile,Nonreportable Net % of OI 5 year percentile
3/31/2020,2614.69,2641.39,2571.15,2584.59,0,0,3/31/2020,2584.59,7.81001E+11,64245465060,70983053604,-6737588544,1.69407E+11,4.51081E+11,4.33814E+11,17266952577,6.84735E+11,6.74205E+11,10529854307,96266547291,1.06794E+11,-10527878881,8.23%,9.09%,-0.86%,0.00%,2.90%,13.80%,21.69%,57.76%,55.55%,2.21%,100.00%,97.10%,90.00%,87.67%,86.33%,1.35%,98.00%,99.00%,92.30%,12.33%,13.67%,-1.35%,2.00%,1.00%,7.70%
3/24/2020,2344.44,2449.71,2344.44,2447.33,0,0,3/24/2020,2447.33,7.49308E+11,60058133881,62731980970,-2673847089,1.87452E+11,4.21739E+11,4.21185E+11,554537021.5,6.6925E+11,6.7137E+11,-2119310068,80057993566,77938683499,2119310068,8.02%,8.37%,-0.36%,0.00%,3.90%,16.50%,25.02%,56.28%,56.21%,0.07%,100.00%,93.20%,78.10%,89.32%,89.60%,-0.28%,35.30%,54.40%,39.20%,10.68%,10.40%,0.28%,64.70%,45.60%,60.80%
3/17/2020,2425.66,2553.93,2367.04,2529.19,4826351185,0,3/17/2020,2529.19,1.11856E+12,66868995453,59662335864,7206659589,3.16323E+11,5.87313E+11,5.95756E+11,-8443706815,9.70506E+11,9.71741E+11,-1235021502,1.48056E+11,1.46821E+11,1235497102,5.98%,5.33%,0.64%,0.00%,6.80%,24.60%,28.28%,52.51%,53.26%,-0.75%,98.00%,90.30%,70.80%,86.76%,86.87%,-0.11%,45.10%,62.10%,44.20%,13.24%,13.13%,0.11%,54.90%,37.90%,55.80%
3/10/2020,2813.48,2882.59,2734,2882.23,4346012322,0,3/10/2020,2882.23,9.60777E+11,84306409450,73290273109,11016136342,2.35051E+11,5.16289E+11,5.24555E+11,-8265694762,8.35646E+11,8.32895E+11,2750441580,1.25129E+11,1.27881E+11,-2751373911,8.77%,7.63%,1.15%,2.00%,8.70%,29.20%,24.46%,53.74%,54.60%,-0.86%,94.10%,89.30%,70.00%,86.98%,86.69%,0.29%,78.40%,81.60%,58.10%,13.02%,13.31%,-0.29%,21.60%,18.40%,41.90%
3/3/2020,3096.46,3136.72,2976.63,3003.37,3871212179,0,3/3/2020,3003.37,8.70221E+11,87874233254,74117394006,13756839248,1.96877E+11,4.69111E+11,4.89374E+11,-20263306884,7.53864E+11,7.60369E+11,-6504994554,1.16358E+11,1.09851E+11,6507252781,10.10%,8.52%,1.58%,19.60%,17.50%,37.30%,22.62%,53.91%,56.24%,-2.33%,58.80%,71.80%,55.00%,86.63%,87.38%,-0.75%,15.70%,39.80%,29.60%,13.37%,12.62%,0.75%,84.30%,60.20%,70.40%
2/25/2020,3238.94,3246.99,3118.77,3128.21,3132889940,0,2/25/2020,3128.21,8.15906E+11,1.07819E+11,79163015665,28656285319,1.70857E+11,4.34278E+11,4.74759E+11,-40480404467,7.12954E+11,7.24779E+11,-11825679670,1.02953E+11,91127642906,11825679670,13.21%,9.70%,3.51%,86.30%,54.40%,62.30%,20.94%,53.23%,58.19%,-4.96%,0.00%,37.90%,25.40%,87.38%,88.83%,-1.45%,0.00%,17.50%,12.30%,12.62%,11.17%,1.45%,100.00%,82.50%,87.70%
2/18/2020,3369.04,3375.01,3355.61,3370.29,0,0,2/18/2020,3370.29,8.19053E+11,1.1679E+11,94927118487,21862922922,1.468E+11,4.63275E+11,4.8854E+11,-25265258512,7.26864E+11,7.30267E+11,-3403186803,92187832785,88785376787,3402455998,14.26%,11.59%,2.67%,47.10%,33.00%,50.40%,17.92%,56.56%,59.65%,-3.08%,33.30%,58.30%,45.40%,88.74%,89.16%,-0.42%,19.60%,49.50%,36.20%,11.26%,10.84%,0.42%,80.40%,50.50%,63.80%
2/11/2020,3365.87,3375.63,3352.72,3357.75,1879876062,0,2/11/2020,3357.75,8.03609E+11,1.12784E+11,92041594556,20741962851,1.43699E+11,4.56924E+11,4.80799E+11,-23874201084,7.13406E+11,7.16538E+11,-3132130704,90202710389,87070443683,3132266706,14.03%,11.45%,2.58%,45.10%,32.00%,49.60%,17.88%,56.86%,59.83%,-2.97%,41.20%,63.10%,49.20%,88.78%,89.17%,-0.39%,19.60%,50.50%,37.30%,11.22%,10.83%,0.39%,80.40%,49.50%,62.70%
2/4/2020,3280.61,3306.92,3280.61,3297.59,0,0,2/4/2020,3297.59,7.58601E+11,1.12688E+11,83159338517,29528834450,1.25152E+11,4.31204E+11,4.62488E+11,-31283487981,6.69044E+11,6.70799E+11,-1754523155,89556534767,87803556200,1752978567,14.85%,10.96%,3.89%,98.00%,63.10%,66.90%,16.50%,56.84%,60.97%,-4.12%,3.90%,41.70%,32.70%,88.19%,88.43%,-0.23%,33.30%,61.20%,43.10%,11.81%,11.57%,0.23%,66.70%,38.80%,56.90%
1/28/2020,3255.35,3285.78,3253.22,3276.24,0,0,1/28/2020,3276.24,7.67684E+11,1.09606E+11,81691460071,27914430069,1.32518E+11,4.37461E+11,4.68123E+11,-30662492765,6.79585E+11,6.82333E+11,-2748062696,88099113600,85350415748,2748697852,14.28%,10.64%,3.64%,92.20%,56.30%,63.80%,17.26%,56.98%,60.98%,-3.99%,3.90%,42.70%,34.20%,88.52%,88.88%,-0.36%,21.60%,55.30%,39.20%,11.48%,11.12%,0.36%,78.40%,44.70%,60.80%
1/21/2020,3321.03,3329.79,3316.61,3320.79,2190847523,0,1/21/2020,3320.79,7.79037E+11,1.10723E+11,89253587659,21469653449,1.33721E+11,4.44895E+11,4.72243E+11,-27347740450,6.89338E+11,6.95219E+11,-5880563763,89698218801,83818384939,5879833862,14.21%,11.46%,2.76%,60.80%,37.90%,52.70%,17.16%,57.11%,60.62%,-3.51%,15.70%,50.50%,40.40%,88.49%,89.24%,-0.75%,11.80%,41.70%,31.20%,11.51%,10.76%,0.75%,88.20%,58.30%,68.80%
1/14/2020,3285.35,3294.25,3277.19,3283.15,0,0,1/14/2020,3283.15,7.58178E+11,1.03864E+11,82585062155,21278497254,1.31118E+11,4.35631E+11,4.64135E+11,-28503750211,6.70611E+11,6.77836E+11,-7224348383,87567029514,80341777788,7225251725,13.70%,10.89%,2.81%,72.50%,42.70%,55.00%,17.29%,57.46%,61.22%,-3.76%,7.80%,46.60%,36.90%,88.45%,89.40%,-0.95%,5.90%,35.90%,27.30%,11.55%,10.60%,0.95%,94.10%,64.10%,72.70%
1/7/2020,3241.86,3244.91,3232.43,3237.18,0,0,1/7/2020,3237.18,7.19485E+11,99936181019,81268801049,18667379970,1.14628E+11,4.2201E+11,4.43979E+11,-21969094669,6.36576E+11,6.39877E+11,-3300988320,82909258638,79607385674,3301872965,13.89%,11.30%,2.59%,54.90%,33.00%,50.80%,15.93%,58.65%,61.71%,-3.05%,27.50%,60.20%,46.90%,88.48%,88.94%,-0.46%,11.80%,50.50%,36.50%,11.52%,11.06%,0.46%,88.20%,49.50%,63.50%
12/31/2019,3215.18,3231.72,3212.03,3230.78,1285724433,0,12/31/2019,3230.78,7.14256E+11,1.05974E+11,79999552310,25974701730,1.07703E+11,4.18213E+11,4.5221E+11,-33997448244,6.3189E+11,6.39914E+11,-8023533846,82364978645,74342318106,8022660539,14.84%,11.20%,3.64%,94.10%,53.40%,63.80%,15.08%,58.55%,63.31%,-4.76%,0.00%,43.70%,29.60%,88.47%,89.59%,-1.12%,3.90%,32.00%,23.50%,11.53%,10.41%,1.12%,96.10%,68.00%,76.50%
12/24/2019,3225.45,3226.43,3220.51,3223.38,604560645,0,12/24/2019,3223.38,7.22692E+11,98958994746,78799908924,20159085822,1.22324E+11,4.21094E+11,4.46758E+11,-25663452516,6.42376E+11,6.47882E+11,-5506126390,80316044870,74810872331,5505172539,13.69%,10.90%,2.79%,68.60%,39.80%,53.80%,16.93%,58.27%,61.82%,-3.55%,11.80%,51.50%,40.80%,88.89%,89.65%,-0.76%,7.80%,42.70%,31.50%,11.11%,10.35%,0.76%,92.20%,57.30%,68.50%
12/17/2019,3195.4,3198.22,3191.03,3192.52,1971590974,0,12/17/2019,3192.52,8.80705E+11,1.00063E+11,88152441069,11910817122,1.59613E+11,5.15365E+11,5.39994E+11,-24628585286,7.75042E+11,7.87759E+11,-12717120925,1.05664E+11,92946375661,12717910482,11.36%,10.01%,1.35%,21.60%,10.70%,33.10%,18.12%,58.52%,61.31%,-2.80%,35.30%,65.00%,51.20%,88.00%,89.45%,-1.44%,3.90%,19.40%,16.20%,12.00%,10.55%,1.44%,96.10%,80.60%,83.80%
